$i$,$p_i$,Asymptotic Error  
0,4.58257569495584,0.5217803813052
1,4.7867398586908,0.510895361703103
2,4.89220801821161,0.50544832769337
3,4.94581035736896,0.502724244716311
4,4.97283136521286,0.501362132467313
5,4.98639717893233,0.500681067497319
6,4.99319395724437,0.500340533906638
7,4.99659581977788,0.500170266973093
8,4.9982976200792,0.500085133489079
9,4.99914873757483,0.500042566744727
10,4.99957435066968,0.500021283373047
11,4.99978717080521,0.500010641685841
12,4.99989358427018,0.50000532084444
13,4.99994679185198,0.500002660418948
14,4.99997339585521,0.500001330210742
15,4.99998669790991,0.500000665095256
16,4.99999334895053,0.50000033258057
17,4.99999667447416,0.500000166323559
18,4.9999983372368,0.500000083061597
19,4.99999916861833,0.500000041664331
20,4.99999958430915,0.500000021366322
